Title,TMDb_id,IMDb_id,Release Date,Synopsis Short,Synopsis Long,Language,Status,Budget,RT Rating,Metascore,IMDb Rating,IMDb Votes,DVD Date,Box Office,Genre IDs
Sacrifice Zone,511906,,2018-01-01,,"The backyard of New South Wales is facing its biggest threat yet – invasive gasfields. Betrayal by governments has meant protectors are fighting to save the things they love. The Pilliga, Great Artesian Basin, Liverpool Plains – all are at risk.  This is a David and Goliath battle to save our land, air and water from destruction. It’s also a fight for the soul and future of Australia. In this film we meet the experts and people living in the sacrifice zone and uncover the truth behind the real gas crisis confronting ordinary Australians.  Interviewees include farmers, Gamilaraay people, groundwater engineers, medical experts, financial analysts, lawyers, activists, astronomers, toxics experts, politicians, whistleblowers and ecologists. Together they weave a compelling argument against this destructive and unnecessary industry.",en,Released,0,,,,,,,[]
Sonambients: The Sound Sculpture of Harry Bertoia,526611,,2017-12-19,,"Shot in 1971, the film follows Harry Bertoia in performance and interview throughout his Sonambient barn deep in the Pennsylvania woods. It offers a rare opportunity to follow the artist in practice, listening carefully as he moves contemplatively through his sculptures and gongs.",en,Released,0,,,,,,,[]
Shamed,492964,tt7754866,2017-12-19,"Aged 17, Sarah Ivy was a happy, carefree teenager with a world of opportunity before her. Fast-forward 10 years and she has two men kidnapped and held in a room.",A woman exacts finely choreographed revenge for an improper act from when she was 17. But what happened to her back then? And what will happen to the men she imprisons?,en,Released,0,,N/A,5.6,44,N/A,N/A,[18]
A Thin Place,496522,tt7658354,2017-12-04,"Grace, a young heroin addict and Jamie. Her alcoholic Doctor, imprisoned by the horror of addiction and sexual co-dependency take a powerful natural hallucinogenic in order to travel the spiritual road to recovery.","Grace, a young heroin addict and Jamie, her alcoholic doctor, imprisoned by the horror of addiction and sexual co-dependency take a powerful natural hallucinogenic in order to travel the spiritual road to recovery. Whilst seeking the truth to their present and past behaviour but driven by self-obsession and malevolent denial, far from leading to salvation, the road they actually travel leads them to a place from which they may never return. A place where the truth is more horrific than the lies they tell themselves. One person from a past that connects them both holds the key to their new place of captivity and that person is in no hurry to leave.",en,Released,0,,N/A,4.8,11,N/A,N/A,[]
The Job,497401,tt5374002,2017-12-08,N/A,"When five guys robbed a bank, they thought that the robbery itself was the hardest part of the job.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[53]
A Murder in Boulder,517634,tt8116120,2018-01-01,N/A,"A mother found after Christmas that her 6 year old girl is missing and a ransom note demanding $118,000. She then was devastated when her husband found the little girl's body in the basement. Who killed the little girl?",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[80, 18]"
Dark Iris,507107,tt4680368,2018-01-01,"Iris is haunted by a mysterious stalker and her own dreams. FBI agents surround Iris while bodies stack up around her. A modern day Dr. Jekyll and Ms. Hyde, Iris tries to survive as she is ...","Iris is haunted by a mysterious stalker and her own dreams. FBI agents surround Iris while bodies stack up around her. A modern day Dr. Jekyll and Ms. Hyde, Iris tries to survive as she is hunted by the very agency that created her.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,"[878, 53]"
Boys on Film 17: Love is the Drug,507857,tt7831486,2017-12-15,"Explore hidden desires on a sleepover, fall in love with the handyman and be seduced by a stranger on the beach as you discover why LOVE IS THE DRUG.","Explore hidden desires on a sleepover, fall in love with the handyman and be seduced by a stranger on the beach as you discover why LOVE IS THE DRUG.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Karaoke,492844,,2017-12-15,,"Failed musician Vanessa comes home from her stale office job one evening  to find a version of herself already inside her own house, and descends  into a nightmare from which she struggles to awake.",en,Released,0,,,,,,,"[27, 53]"
Geenie Reenie,529754,tt8312546,2017-11-26,,"Geenie Reenie and Dozen check some emails on the computer at home. A click there, a click there… what could possibly go wrong!",en,Released,0,,,,,,,[16]
Lip Service,485242,,2017-12-09,,Lip Service is a rumination on the tension between intimacy and alienation. Lip Service is about being too much in your head when you’re meant to be in another’s.,en,Released,0,,,,,,,[]
PLUS MINUS,511594,,2017-12-21,,"In mathematics, plus minus indicates a choice of exactly two possible values, one of which is the negation of the other. This is my interpretation of a couple trying to survive the insurmountable differences between them.",en,Released,0,,,,,,,"[18, 10749]"
Hi-Lo Joe,488799,tt3700566,2017-11-24,"Everyone loves Joe Ridley, except Joe. Dark, crushing depression envelops him and a childhood trauma haunts him. Elly loves him but he is pushing her away. Can he save himself before he loses everything?","Everyone loves Joe Ridley, except Joe. Dark, crushing depression envelops him and a childhood trauma haunts him. Elly loves him but he is pushing her away. Can he save himself before he loses everything?",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Bellator 190: Carvalho vs. Sakara,492032,,2017-12-09,,"Bellator 190: Carvalho vs. Sakara took place on December 9, 2017 at the Nelson Mandela Forum in Florence, Italy. The event aired on Spike TV.  A Middleweight world title fight match pitting Rafael Carvalho against Alessio Sakara will served as the main event of Bellator 190. Occurring also on this card is Bellator Kickboxing 8 headlined by Lightweight title bout pitting Giorgio Petrosyan against Youdwicha.",en,Released,0,,,,,,,[]
BB,491687,,2017-12-09,,"A film made for LIVE, a workshop held by Bianco-Valente. Curated by Giusy Caroppo as a part of the InContemporanea exhibition.",en,Released,0,,,,,,,[]
Robot Roommate,519029,tt8295930,2017-12-08,"Dave, a college freshman at Cleveland State University, volunteers to take part in a new experiment. Only, Dave doesn't expect the upcoming endeavors of living with a robot roommate named Hal.","Short film, Mockumentary",en,Released,1400,,N/A,N/A,N/A,N/A,N/A,[35]
Pilkkihiihto,533611,tt8130356,2018-01-01,N/A,Two brothers battle in a ski-fishing competition. They try to win the heart of the woman they both are in love with.,en,Released,0,,N/A,5.4,16,N/A,N/A,[]
Kylkiäinen,533613,,2018-01-01,,"To cherish the memory of their mother, siblings take matters into their own hands.",en,Released,0,,,,,,,[]
Eläintarha,533624,tt8096676,2018-01-01,N/A,"“No More Presidents” -White Lion, When The Children Cry",en,Released,0,,N/A,6.0,5,N/A,N/A,[16]
Kylkiäinen,533613,,2018-01-01,,"To cherish the memory of their mother, siblings take matters into their own hands.",en,Released,0,,,,,,,[]
Eläintarha,533624,tt8096676,2018-01-01,N/A,"“No More Presidents” -White Lion, When The Children Cry",en,Released,0,,N/A,6.0,5,N/A,N/A,[16]
Anton und ich,486694,,2017-11-07,,Documentary about an old farmer.,en,Released,0,,,,,,,[]
The Supporting Act,490465,,2017-12-02,,Christmas Together - BBC One,en,Released,0,,,,,,,[]
One day I'll become,505573,tt7871544,2017-12-14,"Galactic war, from the perspective of a little boy on a desert planet. He is having visions about the future and he wants to become a Jedi knight. But the war is coming and the Empire is looking for gifted child. Which side will he chose?","Galactic war, from the perspective of a little boy on a desert planet. He is having visions about the future and he wants to become a Jedi knight. But the war is coming and the Empire is looking for gifted child. Which side will he chose?",en,Released,0,,N/A,8.4,40,N/A,N/A,[878]
The Comet,490927,tt6789824,2017-12-08,The Comet follows 20-year-old Gustav and his search to find his father who mysteriously disappeared 12 years ago when a comet passed close to earth.,The Comet follows 20-year-old Gustav and his search to find his father who mysteriously disappeared 12 years ago when a comet passed close to earth.,en,Released,0,,N/A,4.4,11,N/A,N/A,[18]
Happy New Year,495865,tt6352592,2017-12-29,N/A,A romantic drama filmed in Australia.,en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
The Panther,524626,,2017-12-15,,A girl at the zoo forms a connection with a caged panther and sees how it would be if the animal was free in its own environement. The film is inspired by the poem “Der Panther” by Rainer Maria Rilke.,en,Released,0,,,,,,,[16]
No Jail Time: The Movie,493957,tt7746734,2017-12-05,"To beg for leniency, defense attorneys are producing tear-jerking documentaries for an audience of one: the judge.","To beg for leniency, defense attorneys are producing entire documentaries for an audience of one: the judge.",en,Released,0,,N/A,N/A,N/A,N/A,N/A,[]
Thieves,501058,,2017-12-03,,"Two kids are bored one summer when their attention is captured by an ad for an amusement park that has just opened not too far from where they live. After their mom refuses to take them, the kids decide on a plan to get some money to pay for it: robbing a store. After two unsuccessful attempts, they find themselves face to face with an actual robber in the middle of an actual robbery.",en,Released,0,,,,,,,[35]
Unholy Night,513062,,2017-12-16,,An anthology of Christmas-themed horror stories.,en,Released,0,,,,,,,"[27, 35]"
Mark Thomas : The Red Shed,498670,,2017-12-11,,"A topical tale about the miner's strike  The Red Shed is a 47 foot long, wooden, red, Socialist shed in Wakefield where Mark first started to perform in public and where he politically came of age as a student involved in the miners strike. The battle of politics is remembering over forgetting.",en,Released,0,,,,,,,[]
